+----------+---------------+--------------+---------------+-----------+
|event_date|technical_count|security_count|assistant_count|total_count|
|2003-05-29|5              |14            |6              |25         |
|2003-05-25|5              |42            |17             |64         |
|2002-04-15|5              |10            |4              |19         |
|2001-10-28|10             |59            |25             |94         |
|2000-03-06|5              |22            |9              |36         |
|2000-03-05|5              |28            |12             |45         |
|1996-12-14|15             |92            |38             |145        |
|1995-04-13|10             |69            |28             |107        |
|1995-04-12|10             |62            |26             |98         |
|1994-01-09|10             |43            |18             |71         |
|1994-01-08|5              |16            |7              |28         |
|1993-12-13|50             |359           |146            |555        |
|1991-12-25|15             |127           |52             |194        |
|1991-12-24|5              |44            |18             |67         |
|1989-03-22|10             |26            |11             |47         |
|1989-03-21|5              |15            |6              |26         |
|1989-03-20|5              |37            |15             |57         |
|1988-04-06|5              |44            |18             |67         |
|1988-04-04|5              |22            |9              |36         |
|1987-03-11|5              |41            |17             |63         |
|1987-03-10|5              |33            |13             |51         |
|1987-03-09|10             |67            |27             |104        |
|1985-12-25|10             |47            |19             |76         |
|1985-12-24|5              |19            |8              |32         |
|1985-12-22|10             |45            |19             |74         |
|1984-06-16|5              |44            |18             |67         |
|1984-06-15|5              |41            |17             |63         |
|1983-03-02|5              |26            |11             |42         |
|1983-02-28|5              |38            |16             |59         |
|1982-01-23|10             |69            |28             |107        |
|1982-01-22|5              |38            |15             |58         |
|1982-01-21|10             |80            |33             |123        |
|1981-09-21|10             |30            |13             |53         |
|1981-09-20|10             |51            |21             |82         |
|1980-12-14|5              |32            |13             |50         |
|1980-12-13|5              |17            |7              |29         |
|1980-12-12|5              |29            |12             |46         |
|1979-03-15|25             |132           |54             |211        |
|1978-03-04|5              |27            |11             |43         |
|1978-03-02|5              |42            |17             |64         |
|1976-05-07|10             |65            |26             |101        |
|1975-07-26|10             |93            |38             |141        |
|1974-05-13|5              |38            |16             |59         |
|1974-05-12|5              |33            |13             |51         |
|1973-12-18|5              |41            |17             |63         |
|1973-12-17|5              |44            |18             |67         |
|1972-03-06|5              |50            |20             |75         |
|1972-03-05|5              |13            |6              |24         |
|1972-03-04|5              |39            |16             |60         |
|1971-11-05|5              |18            |8              |31         |
|1971-11-04|10             |64            |26             |100        |
|1971-11-03|5              |40            |16             |61         |
|1971-11-02|5              |31            |13             |49         |
|1970-08-01|5              |18            |7              |30         |
|1970-07-31|5              |45            |18             |68         |
|1970-07-30|5              |17            |7              |29         |
|1969-09-18|15             |75            |31             |121        |
|1968-06-19|15             |83            |33             |131        |
|1967-01-09|15             |100           |40             |155        |
|1966-10-25|5              |27            |11             |43         |
|1966-10-21|5              |42            |17             |64         |
|1965-02-10|5              |34            |14             |53         |
|1965-02-09|5              |30            |12             |47         |
|1965-02-08|5              |29            |12             |46         |
|1964-08-07|5              |16            |7              |28         |
|1964-08-06|10             |63            |25             |98         |
|1963-11-26|10             |69            |28             |107        |
|1963-11-25|5              |23            |9              |37         |
|1962-01-01|20             |120           |49             |189        |
|1961-09-25|5              |40            |16             |61         |
|1961-09-24|10             |65            |27             |102        |
|1960-08-25|5              |27            |11             |43         |
|1960-08-24|10             |53            |22             |85         |
|1959-06-19|15             |106           |44             |165        |
|1957-06-26|10             |39            |16             |65         |
|1957-06-25|5              |41            |17             |63         |
|1957-06-23|10             |71            |29             |110        |
|1957-06-22|10             |44            |18             |72         |
|1956-09-21|10             |60            |25             |95         |
|1956-09-20|5              |38            |16             |59         |
|1955-06-22|5              |44            |18             |67         |
|1954-12-27|5              |10            |4              |19         |
|1953-06-05|10             |88            |36             |134        |
|1953-06-04|20             |126           |52             |198        |
|1952-10-29|5              |44            |18             |67         |
|1952-10-28|5              |10            |4              |19         |
|1952-10-27|5              |42            |17             |64         |
|1952-10-26|10             |73            |29             |112        |
|1951-12-18|20             |113           |46             |179        |
|1950-06-22|5              |30            |12             |47         |
|1950-06-20|15             |87            |35             |137        |
|1949-04-11|5              |41            |17             |63         |
|1948-05-07|10             |76            |32             |118        |
|1948-05-06|10             |70            |29             |109        |
|1947-02-09|5              |39            |16             |60         |
|1947-02-07|5              |46            |19             |70         |
|1947-02-06|10             |55            |23             |88         |
|1947-02-05|5              |19            |8              |32         |
|1946-05-04|5              |14            |6              |25         |
|1946-05-03|15             |78            |33             |126        |
|1945-06-25|5              |31            |13             |49         |
|1944-10-11|5              |40            |16             |61         |
|1943-11-18|5              |14            |6              |25         |
|1942-09-02|5              |30            |12             |47         |
|1942-09-01|5              |38            |16             |59         |
|1942-08-31|10             |49            |20             |79         |
|1941-10-10|5              |41            |17             |63         |
|1941-10-07|5              |14            |6              |25         |
|1939-02-04|5              |41            |17             |63         |
|1939-02-01|10             |85            |35             |130        |
|1938-12-10|10             |79            |33             |122        |
|1937-02-07|5              |33            |13             |51         |
|1937-02-06|5              |31            |13             |49         |
|1937-02-05|5              |22            |9              |36         |
|1936-06-20|5              |14            |6              |25         |
|1936-06-19|5              |47            |19             |71         |
|1935-12-06|5              |31            |13             |49         |
+----------+---------------+--------------+---------------+-----------+
